,LAT,LON,ZipCode,cc,k2,k3,k4,k5,k6,k7,k8,k9,k10
11215,40.662688,-73.98674,11215,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11216,40.680768,-73.949316,11216,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11217,40.682306,-73.978099,11217,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11218,40.643468,-73.976046,11218,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11219,40.632667,-73.996669,11219,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11220,40.641221,-74.016862,11220,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11221,40.69134,-73.927879,11221,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11222,40.72779,-73.947605,11222,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11223,40.597139,-73.973428,11223,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11224,40.577372,-73.988706,11224,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11225,40.663046,-73.954219,11225,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11226,40.646448,-73.956649,11226,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11228,40.616695,-74.013047,11228,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11229,40.601293,-73.944493,11229,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11230,40.622164,-73.965105,11230,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11231,40.677916,-74.005154,11231,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11232,40.656546,-74.007355,11232,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11233,40.678308,-73.919936,11233,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11234,40.60508,-73.911721,11234,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11235,40.583949,-73.949096,11235,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11236,40.639413,-73.900664,11236,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11237,40.70416,-73.921139,11237,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11238,40.679171,-73.963804,11238,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11239,40.647735,-73.879477,11239,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
11354,40.768208,-73.827403,11354,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11355,40.751452,-73.821031,11355,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11356,40.78485,-73.841279,11356,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11357,40.786393,-73.810864,11357,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11358,40.760471,-73.796371,11358,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11360,40.780379,-73.78123,11360,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11361,40.764191,-73.772775,11361,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11362,40.756574,-73.737845,11362,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11363,40.772616,-73.746526,11363,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11364,40.745289,-73.760586,11364,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11365,40.739634,-73.79449,11365,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11366,40.728152,-73.785019,11366,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11367,40.730145,-73.82703,11367,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11368,40.751718,-73.851822,11368,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11369,40.763365,-73.872374,11369,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11370,40.765393,-73.893243,11370,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11372,40.75169,-73.883638,11372,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11373,40.738837,-73.878535,11373,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11374,40.726418,-73.861526,11374,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11375,40.720934,-73.846151,11375,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11377,40.744819,-73.905156,11377,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11378,40.724744,-73.909639,11378,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11379,40.716748,-73.879601,11379,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11385,40.700671,-73.889433,11385,0.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0
11411,40.694021,-73.736216,11411,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11412,40.698095,-73.758986,11412,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11413,40.671659,-73.752568,11413,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11414,40.657604,-73.844804,11414,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11415,40.707917,-73.828212,11415,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11416,40.684654,-73.849548,11416,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11417,40.676446,-73.844443,11417,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11418,40.700272,-73.835971,11418,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11419,40.688673,-73.822918,11419,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11420,40.673583,-73.81773,11420,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11421,40.694062,-73.858626,11421,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11422,40.66006,-73.736012,11422,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11423,40.715606,-73.768471,11423,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11426,40.736425,-73.722376,11426,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11427,40.730904,-73.745661,11427,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11428,40.721016,-73.742245,11428,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11429,40.709766,-73.738653,11429,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11430,40.646964,-73.784813,11430,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11432,40.715359,-73.793071,11432,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11433,40.698162,-73.786893,11433,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11434,40.676808,-73.776425,11434,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11435,40.701265,-73.809605,11435,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11436,40.675807,-73.796622,11436,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
11691,40.601278,-73.761651,11691,0.0,1.0,0.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0
11692,40.594095,-73.792896,11692,0.0,1.0,0.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0
11693,40.590692,-73.809749,11693,0.0,1.0,0.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0
11694,40.57827,-73.844762,11694,0.0,1.0,0.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0
11697,40.555688,-73.920663,11697,0.0,1.0,0.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0
