,NUM,LAT,LON,cc,k2,k3,k4,k5,k6,k7,k8,k9,k10,ZipCode
11371,35.0,40.773894,-73.873475,0,0,1,3,0,0,3,7,4,1,11371
11372,15264.0,40.75169,-73.883638,0,0,1,3,0,0,3,7,4,1,11372
11373,22882.0,40.738837,-73.878535,0,0,1,3,0,0,3,7,4,1,11373
11374,11359.0,40.726418,-73.861526,0,0,1,3,0,0,3,7,4,1,11374
11375,18064.0,40.720934,-73.846151,0,0,1,3,0,0,3,7,4,1,11375
11377,22843.0,40.744819,-73.905156,0,0,1,3,0,0,3,7,4,1,11377
11378,14299.0,40.724744,-73.909639,0,0,1,3,0,0,3,7,4,1,11378
11379,10717.0,40.716748,-73.879601,0,0,1,3,0,0,3,7,4,1,11379
11385,36032.0,40.700671,-73.889433,0,0,1,3,0,0,3,7,4,1,11385
11411,5127.0,40.694021,-73.736216,0,0,1,3,0,0,3,3,8,8,11411
11412,10325.0,40.698095,-73.758986,0,0,1,3,0,0,3,3,8,8,11412
11413,10435.0,40.671659,-73.752568,0,0,1,3,0,0,3,3,8,8,11413
11414,9037.0,40.657604,-73.844804,0,0,1,3,0,0,3,3,8,8,11414
11415,7134.0,40.707917,-73.828212,0,0,1,3,0,0,3,3,8,8,11415
11416,8980.0,40.684654,-73.849548,0,0,1,3,0,0,3,3,8,8,11416
11417,11370.0,40.676446,-73.844443,0,0,1,3,0,0,3,3,8,8,11417
11418,13308.0,40.700272,-73.835971,0,0,1,3,0,0,3,3,8,8,11418
11419,17140.0,40.688673,-73.822918,0,0,1,3,0,0,3,3,8,8,11419
11420,16844.0,40.673583,-73.81773,0,0,1,3,0,0,3,3,8,8,11420
11421,12937.0,40.694062,-73.858626,0,0,1,3,0,0,3,3,8,8,11421
11422,7435.0,40.66006,-73.736012,0,0,1,3,0,0,3,3,8,8,11422
11423,8738.0,40.715606,-73.768471,0,0,1,3,0,0,3,3,8,8,11423
11426,4743.0,40.736425,-73.722376,0,0,1,3,0,0,3,3,8,8,11426
11427,5877.0,40.730904,-73.745661,0,0,1,3,0,0,3,3,8,8,11427
11428,5658.0,40.721016,-73.742245,0,0,1,3,0,0,3,3,8,8,11428
11429,6021.0,40.709766,-73.738653,0,0,1,3,0,0,3,3,8,8,11429
11430,1095.0,40.646964,-73.784813,0,0,1,3,0,0,3,3,8,8,11430
11432,17045.0,40.715359,-73.793071,0,0,1,3,0,0,3,3,8,8,11432
11433,12661.0,40.698162,-73.786893,0,0,1,3,0,0,3,3,8,8,11433
11434,16042.0,40.676808,-73.776425,0,0,1,3,0,0,3,3,8,8,11434
11435,15481.0,40.701265,-73.809605,0,0,1,3,0,0,3,3,8,8,11435
11436,6251.0,40.675807,-73.796622,0,0,1,3,0,0,3,3,8,8,11436
11691,16690.0,40.601278,-73.761651,0,0,1,3,4,5,5,5,3,5,11691
11692,4571.0,40.594095,-73.792896,0,0,1,3,4,5,5,5,3,5,11692
11693,3772.0,40.590692,-73.809749,0,0,1,3,4,5,5,5,3,5,11693
11694,6980.0,40.57827,-73.844762,0,0,1,3,4,5,5,5,3,5,11694
11697,239.0,40.555688,-73.920663,0,0,1,3,4,5,5,5,3,5,11697
